,Name,Rating,Reviews,Company type,Headquater & Branches,Age,Employees
57,Shri Ram Murti Smarak Institute of Medical Sciences,4.0,67,Education & Training,Bareilly +4 more,Bareilly +4 more,501-1k Employees (Global)
58,Oman Trading Establishment,3.9,67,Auto Components,Muscat +2 more,Muscat +2 more,1k-5k Employees (Global)
59,Al Gihaz Holding,4.4,67,Electronics Manufacturing,Riyadh +6 more,Riyadh +6 more,1k-5k Employees (Global)
60,Hitachi MGRM Net,3.5,68,IT Services & Consulting,New Delhi +5 more,New Delhi +5 more,1k-5k Employees
61,Corizo,4.4,68,EdTech,Bengaluru/Bangalore +1 more,Bengaluru/Bangalore +1 more,51-200 Employees
62,Satec Envir Engineering (I),4.3,68,Engineering & Construction,Mumbai +4 more,Mumbai +4 more,501-1k Employees
63,Sharp Sight,3.5,68,Healthcare,Delhi/NCR +9 more,Delhi/NCR +9 more,1k-5k Employees
64,Oneindia BSC,3.6,67,Financial Services,Bangalore/Bengaluru +2 more,Bangalore/Bengaluru +2 more,51-200 Employees
65,NNE,4.0,67,Pharma,Virum +8 more,32 years old,201-500 Employees
66,Healthcare Informatics,3.3,67,Healthcare,Vadodara/Baroda +5 more,Vadodara/Baroda +5 more,201-500 Employees
67,Sanathan Textiles,4.3,67,Fashion & Textile,Mumbai +5 more,Mumbai +5 more,201-500 Employees
68,Signiwis Technologies,3.8,67,IT Services & Consulting,Bangalore/Bengaluru +1 more,Bangalore/Bengaluru +1 more,51-200 Employees
69,Valenta AI Private Limited,3.4,67,IT Services & Consulting,North York +6 more,North York +6 more,201-500 Employees
70,Artefact Projects,2.2,67,Agriculture,Nagpur +8 more,Nagpur +8 more,1-10 Employees
71,LGB Forge,3.1,67,Industrial Machinery,Coimbatore +5 more,17 years old,51-200 Employees
72,Gateway Rail Freight,3.9,67,Urban Transport,New Delhi +8 more,New Delhi +8 more,1k-5k Employees
73,Synergy Systems & Solutions,4.0,67,Industrial Automation,Faridabad +10 more,Faridabad +10 more,51-200 Employees
74,Kich Architectural Products,3.9,67,Architecture & Interior Design,Rajkot +16 more,Rajkot +16 more,51-200 Employees
75,Icreon Communications,3.8,67,IT Services & Consulting,New York +3 more,New York +3 more,51-200 Employees
76,ETP International,4.1,67,Power,Singapore +3 more,Singapore +3 more,51-200 Employees
77,Mediaocean,4.3,67,Software Product,New York,New York,201-500 Employees
78,KSA PowerInfra,3.3,67,Power,Chennai +14 more,Chennai +14 more,51-200 Employees
79,Bonito Designs,2.6,67,Architecture & Interior Design,Bangalore +3 more,11 years old,201-500 Employees
80,Fitness First,4.8,69,Fitness & Wellness,Gurgaon/Gurugram +9 more,Gurgaon/Gurugram +9 more,501-1k Employees
81,K7 Computing,4.2,69,IT Services & Consulting,Chennai +14 more,Chennai +14 more,51-200 Employees
82,Experian,3.5,69,IT Services & Consulting,Costa Mesa +5 more,17 years old,201-500 Employees
83,Swarovski India,4.0,69,Jewellery,Wattens +14 more,Wattens +14 more,501-1k Employees
84,Apex Auto,4.0,69,Industrial Machinery,Jamshedpur +11 more,29 years old,201-500 Employees
85,Brennan IT,3.9,69,IT Services & Consulting,Mumbai +2 more,Mumbai +2 more,201-500 Employees
86,Indian Potash,3.8,69,Agro Chemicals,Chennai +21 more,Chennai +21 more,1k-5k Employees
87,SI Group,4.5,69,Chemicals,Schenectady +12 more,Schenectady +12 more,1k-5k Employees
88,Skilrock Technologies,3.9,69,IT Services & Consulting,Gurgaon/Gurugram,Gurgaon/Gurugram,51-200 Employees
89,Neelachal Ispat Nigam,4.2,69,Metals & Mining,Jajpur +6 more,41 years old,1k-5k Employees
90,IMS Learning Resources,3.7,69,Education & Training,Mumbai +17 more,Mumbai +17 more,51-200 Employees
91,Servosys Solutions,3.0,69,Financial Services,Gurgaon +5 more,Gurgaon +5 more,51-200 Employees
92,Via.com,3.8,69,Media & Entertainment,New York City +10 more,New York City +10 more,201-500 Employees
93,Thakral Services India,3.3,69,Law Enforcement & Security,Bangalore +9 more,Bangalore +9 more,501-1k Employees
94,Pacifica Companies,4.0,69,Real Estate,Ahmedabad +4 more,Ahmedabad +4 more,201-500 Employees
95,Rashi Peripherals,4.0,69,IT Services & Consulting,Mumbai +18 more,Mumbai +18 more,1k-5k Employees
96,Jindal Stainless Steelway,3.9,69,Iron & Steel,Gurugram +12 more,Gurugram +12 more,1k-5k Employees
97,New Saraswati House,3.8,69,Printing & Publishing,New Delhi +17 more,New Delhi +17 more,51-200 Employees
98,SRM Techsol,4.4,69,IT Services & Consulting,San Mateo +1 more,San Mateo +1 more,51-200 Employees
99,TUV Rheinland Group,4.1,69,Law Enforcement & Security,Cologne +20 more,Cologne +20 more,10k-50k Employees (Global)
100,Tata Interactive Systems,2.7,70,IT Services & Consulting,Mumbai +20 more,Mumbai +20 more,501-1k Employees
101,Jawaharlal Nehru Medical College,4.0,70,Education & Training,Ajmer +10 more,Ajmer +10 more,201-500 Employees (Global)
102,Azure Knowledge Corporation,3.8,70,Analytics & KPO,Palo Alto +5 more,Palo Alto +5 more,1k-5k Employees
103,Shrinath Rotopack,4.1,70,Packaging,Hyderabad +2 more,Hyderabad +2 more,201-500 Employees
104,Seneca Global IT Services,4.2,70,IT Services & Consulting,Oak Brook,Oak Brook,201-500 Employees
105,Merlin Group,4.2,70,Real Estate,Kolkata +6 more,Kolkata +6 more,51-200 Employees (Global)
